batch_id,station,cycle_time_s,station_util,queue_len,downtime_hours,scrap_count,rework_count,scrap_cost,downtime_cost,unit_value
B0001,Cutting,41.57,0.7321,4.81,0.748,3,2,117.27,323.72,97.28
B0001,Welding,52.09,0.858,24.35,1.397,3,3,117.17,329.29,95.96
B0001,Assembly,63.77,0.97,27.33,1.537,9,7,117.61,341.61,96.69
B0001,Packing,25.91,0.603,3.24,0.309,2,1,115.26,329.62,94.82
B0002,Cutting,42.2,0.6961,5.22,0.786,2,3,122.68,325.52,93.17
B0002,Welding,50.09,0.8565,13.05,1.225,6,3,119.64,329.91,97.21
B0002,Assembly,59.53,0.9574,20.82,1.691,9,7,117.31,343.97,95.92
B0002,Packing,29.55,0.6266,2.34,0.333,2,1,117.19,333.58,98.55
B0003,Cutting,41.14,0.6961,8.66,0.408,2,2,115.17,335.5,98.48
B0003,Welding,55.48,0.8795,22.82,0.888,6,4,112.26,346.53,94.97
B0003,Assembly,59.46,0.9082,28.43,0.838,5,8,119.31,330.65,95.07
B0003,Packing,27.51,0.596,3.63,0.234,1,1,123.18,343.4,93.24
B0004,Cutting,41.16,0.7221,4.46,0.563,4,3,120.53,329.58,97.88
B0004,Welding,49.45,0.8392,20.03,1.136,5,3,122.31,349.52,94.31
B0004,Assembly,67.79,0.9471,40.32,0.818,8,6,119.42,331.22,93.34
B0004,Packing,29.58,0.6096,3.75,0.303,2,1,115.3,355.04,95.48
B0005,Cutting,40.02,0.7335,8.1,0.757,2,3,119.94,333.23,96.91
B0005,Welding,56.1,0.8647,15.78,1.097,6,3,118.62,333.31,97.46
B0005,Assembly,63.5,0.9051,33.01,1.657,11,11,116.56,329.2,98.07
B0005,Packing,26.62,0.6235,2.59,0.319,2,1,113.5,336.81,98.52
B0006,Cutting,40.93,0.7224,5.79,0.379,2,2,113.25,343.39,95.9
B0006,Welding,48.75,0.8372,12.72,1.108,7,5,120.42,348.45,98.28
B0006,Assembly,68.82,0.908,20.42,0.879,6,5,118.74,349.56,98.43
B0006,Packing,26.76,0.5889,2.18,0.414,1,1,114.58,348.02,98.31
B0007,Cutting,41.99,0.731,6.35,0.725,5,2,120.91,354.24,96.03
B0007,Welding,53.98,0.8772,15.36,1.086,4,6,112.55,344.6,98.17
B0007,Assembly,68.1,0.9155,29.73,1.314,11,6,116.28,329.84,95.86
B0007,Packing,29.82,0.5917,3.7,0.231,2,1,115.14,349.58,93.4
B0008,Cutting,41.01,0.7016,5.88,0.582,3,3,120.64,323.2,93.23
B0008,Welding,53.17,0.868,17.81,0.966,3,5,123.17,353.65,97.74
B0008,Assembly,61.01,0.9361,24.29,1.21,10,8,115.79,326.65,96.97
B0008,Packing,28.5,0.5911,3.95,0.403,1,1,112.36,327.79,94.54
B0009,Cutting,39.67,0.7438,4.75,0.377,3,2,118.01,328.14,93.48
B0009,Welding,48.2,0.8392,23.43,0.742,4,4,117.73,349.8,97.54
B0009,Assembly,64.88,0.9285,34.14,1.015,5,4,113.99,345.96,97.64
B0009,Packing,29.72,0.634,3.88,0.238,1,1,123.85,328.47,98.06
B0010,Cutting,38.87,0.7186,5.66,0.467,4,2,117.12,324.23,93.86
B0010,Welding,49.72,0.8454,17.72,0.701,4,3,114.77,352.2,98.03
B0010,Assembly,60.99,0.9772,32.76,1.93,8,6,121.54,348.48,94.2
B0010,Packing,26.07,0.5858,4.03,0.424,1,1,120.6,335.29,95.4
B0011,Cutting,42.26,0.7081,7.21,0.776,4,2,123.67,330.01,93.61
B0011,Welding,51.24,0.8677,23.69,0.919,7,2,116.33,344.56,95.14
B0011,Assembly,62.72,0.9152,24.11,1.636,13,7,119.65,356.2,98.33
B0011,Packing,26.26,0.59,3.77,0.27,1,1,113.42,331.87,95.64
B0012,Cutting,38.26,0.7385,6.23,0.643,3,3,114.12,351.96,98.3
B0012,Welding,51.45,0.8687,15.29,1.317,3,2,117.06,350.59,94.01
B0012,Assembly,63.88,0.9138,40.42,0.785,5,5,123.06,335.38,94.34
B0012,Packing,28.05,0.6227,2.33,0.236,2,1,115.17,334.28,96.66
B0013,Cutting,42.68,0.7026,5.56,0.469,4,2,118.7,356.72,98.87
B0013,Welding,52.85,0.8559,23.25,1.517,4,3,122.12,336.69,97.27
B0013,Assembly,67.29,0.9716,39.7,1.421,8,4,123.42,354.11,95.98
B0013,Packing,26.33,0.6332,2.63,0.273,1,1,121.38,332.73,98.37
B0014,Cutting,43.61,0.7446,5.64,0.386,3,1,114.14,353.33,95.83
B0014,Welding,52.04,0.8581,12.68,1.124,4,2,121.5,331.97,93.84
B0014,Assembly,65.83,0.9474,31.67,1.283,5,5,123.54,330.38,97.43
B0014,Packing,26.37,0.6118,3.66,0.338,2,1,116.34,346.27,96.47
B0015,Cutting,37.77,0.7313,6.73,0.458,4,3,118.88,338.82,95.64
B0015,Welding,49.77,0.8817,15.95,0.901,6,5,114.23,348.36,94.71
B0015,Assembly,61.67,0.9594,32.17,1.165,9,11,112.2,332.04,94.96
B0015,Packing,25.85,0.6218,3.69,0.313,2,1,121.49,333.03,97.74
B0016,Cutting,39.75,0.7088,7.07,0.34,4,2,119.32,335.9,95.88
