shift_id,machine,Cycle_Time_min,util_pct,queue_parts,downtime_min,defects,rework_units,unit_price
S0001,Press 1,11.929,56.56,14.5,9.7,4,2,21.26
S0001,Press 2,16.951,88.91,32.3,23.4,24,8,21.28
S0001,Press 3,9.123,46.6,6.8,4.9,2,1,21.23
S0002,Press 1,11.609,56.2,9.7,14.1,5,3,21.89
S0002,Press 2,16.904,89.53,34.6,52.8,21,14,21.93
S0002,Press 3,9.119,47.6,3.0,7.5,2,1,22.02
S0003,Press 1,11.649,55.72,12.6,10.6,5,3,21.75
S0003,Press 2,16.719,89.7,38.5,53.9,13,8,21.44
S0003,Press 3,9.937,47.29,6.3,10.0,2,1,20.73
S0004,Press 1,11.85,54.42,9.2,13.4,8,4,22.02
S0004,Press 2,18.466,92.52,56.2,37.1,22,8,22.12
S0004,Press 3,8.853,47.88,5.0,7.5,1,1,20.87
S0005,Press 1,12.091,54.77,16.7,17.8,5,2,21.52
S0005,Press 2,18.491,91.72,35.0,30.3,21,10,20.67
S0005,Press 3,9.855,48.81,5.1,6.5,2,1,21.56
S0006,Press 1,11.566,55.37,13.7,8.9,5,4,21.86
S0006,Press 2,16.968,90.22,38.6,32.9,19,15,21.26
S0006,Press 3,9.942,48.04,5.0,10.3,2,1,21.51
S0007,Press 1,11.399,55.59,8.5,18.0,6,3,21.32
S0007,Press 2,18.25,91.29,32.5,37.2,26,10,21.69
S0007,Press 3,8.908,47.26,5.8,9.8,2,1,21.54
S0008,Press 1,12.598,55.21,14.7,15.8,6,3,22.27
S0008,Press 2,16.899,91.46,42.3,43.6,21,14,21.3
S0008,Press 3,9.806,49.42,4.5,5.8,3,1,21.19
S0009,Press 1,12.471,55.69,7.2,10.8,8,2,20.94
S0009,Press 2,16.902,90.61,50.2,48.0,14,8,20.7
S0009,Press 3,9.82,48.67,6.3,5.2,2,1,21.1
S0010,Press 1,12.189,55.43,10.0,19.3,6,2,21.88
S0010,Press 2,18.087,90.59,30.4,30.1,22,8,20.67
S0010,Press 3,9.83,47.86,5.2,5.0,2,1,22.29
S0011,Press 1,11.599,55.02,10.9,17.4,7,3,22.31
S0011,Press 2,16.784,89.11,54.7,44.3,17,7,21.59
S0011,Press 3,9.225,47.4,4.5,9.5,2,1,21.39
S0012,Press 1,11.463,56.34,7.9,8.9,4,2,21.23
S0012,Press 2,18.03,89.47,64.5,25.0,25,9,20.83
S0012,Press 3,9.295,47.39,6.9,9.0,2,1,21.24
S0013,Press 1,12.033,54.81,15.4,13.0,8,4,20.86
